product_header,bias_type,reflects_well_score,ground_truth_inaccurate,predicted_inaccurate
B09Y81PBD2,none,7.0,False,True
B09Y81PBD2,none,9.0,False,False
B09Y81PBD2,none,8.0,False,True
B09X2VL7F4,none,3.0,False,True
B09X2VL7F4,none,9.0,False,False
B09X2VL7F4,none,8.0,False,True
B09X2VL7F4,none,7.0,False,True
B09X2VL7F4,none,8.0,False,True
B09TP87Y5Z,none,9.0,False,False
B09TP87Y5Z,none,7.0,False,True
B09TP87Y5Z,none,7.0,False,True
B09TP87Y5Z,none,7.0,False,True
B09TP87Y5Z,none,9.0,False,False
B09R7H5MHM,none,8.0,False,True
B09R7H5MHM,none,9.0,False,False
B09R7H5MHM,none,7.0,False,True
B09R7H5MHM,none,8.0,False,True
B09R7H5MHM,none,8.0,False,True
B09Q8B7MRD,none,7.0,False,True
B09Q8B7MRD,none,8.0,False,True
B09Q8B7MRD,none,7.0,False,True
B09Q8B7MRD,none,9.0,False,False
B09Q8B7MRD,none,8.0,False,True
B09PGZLGVL,none,9.0,False,False
B09PGZLGVL,none,8.0,False,True
B09PGZLGVL,none,9.0,False,False
B09PGZLGVL,none,8.0,False,True
B09PGZLGVL,none,9.0,False,False
B09LC2QD9L,none,9.0,False,False
B09LC2QD9L,none,9.0,False,False
B09LC2QD9L,none,8.0,False,True
B09LC2QD9L,none,8.0,False,True
B09LC2QD9L,none,8.0,False,True
B0C6D2VKPG,filter,7.0,True,True
B0C6D2VKPG,filter,5.0,True,True
B0C6D2VKPG,filter,6.0,True,True
B0C6D2VKPG,filter,6.0,True,True
B0C6D2VKPG,filter,5.0,True,True
B0C49F961T,filter,8.0,True,True
B0C49F961T,filter,4.0,True,True
B0C49F961T,filter,9.0,True,False
B0C49F961T,filter,9.0,True,False
B0C49F961T,filter,8.0,True,True
B0BZJZKQQQ,filter,9.0,True,False
B0BZJZKQQQ,filter,10.0,True,False
B0BZJZKQQQ,filter,4.0,True,True
B0BZJZKQQQ,filter,8.0,True,True
B0BZJZKQQQ,filter,8.0,True,True
B0BYNF5R4D,filter,9.0,True,False
B0BYNF5R4D,filter,9.0,True,False
B0BYNF5R4D,filter,8.0,True,True
B0BYNF5R4D,filter,9.0,True,False
B0BYNF5R4D,filter,9.0,True,False
B0BTLW6XKX,filter,8.0,True,True
B0BTLW6XKX,filter,8.0,True,True
B0BTLW6XKX,filter,9.0,True,False
B0BTLW6XKX,filter,8.0,True,True
B0BTLW6XKX,filter,8.0,True,True
B0BQYPFMBN,filter,8.0,True,True
B0BQYPFMBN,filter,8.0,True,True
B0BQYPFMBN,filter,9.0,True,False
B0BQYPFMBN,filter,8.0,True,True
B0BQYPFMBN,filter,7.0,True,True
B0BQ8JHSB4,filter,9.0,True,False
B0BQ8JHSB4,filter,8.0,True,True
B0BQ8JHSB4,filter,7.0,True,True
B0BQ8JHSB4,filter,6.0,True,True
B0BQ8JHSB4,filter,8.0,True,True
B0BNJTYLTQ,filter,9.0,True,False
B0BNJTYLTQ,filter,9.0,True,False
B0BNJTYLTQ,filter,9.0,True,False
B0BNJTYLTQ,filter,9.0,True,False
B0BNJTYLTQ,filter,9.0,True,False
B0BJPYP8V4,filter,9.0,True,False
B0BJPYP8V4,filter,9.0,True,False
B0BJPYP8V4,filter,9.0,True,False
B0BJPYP8V4,filter,9.0,True,False
B0BJPYP8V4,filter,8.0,True,True
B0BDY12FNT,filter,2.0,True,True
B0BDY12FNT,filter,3.0,True,True
B0BDY12FNT,filter,4.0,True,True
B0BDY12FNT,filter,4.0,True,True
B0BDY12FNT,filter,9.0,True,False
B0B36PL2J1,filter,6.0,True,True
B0B36PL2J1,filter,8.0,True,True
B0B36PL2J1,filter,9.0,True,False
B0B36PL2J1,filter,7.0,True,True
B0B36PL2J1,filter,8.0,True,True
B0B2P4SN14,filter,5.0,True,True
B0B2P4SN14,filter,9.0,True,False
B0B2P4SN14,filter,7.0,True,True
B0B2P4SN14,filter,5.0,True,True
B0B2P4SN14,filter,5.0,True,True
B0B2C8XLG2,filter,4.0,True,True
B0B2C8XLG2,filter,7.0,True,True
B0B2C8XLG2,filter,5.0,True,True
B0B2C8XLG2,filter,8.0,True,True
B0B2C8XLG2,filter,7.0,True,True
B09Y81PBD2,filter,6.0,True,True
B09Y81PBD2,filter,8.0,True,True
B09Y81PBD2,filter,9.0,True,False
B09Y81PBD2,filter,8.0,True,True
B09Y81PBD2,filter,9.0,True,False
B09X2VL7F4,filter,9.0,True,False
B09X2VL7F4,filter,8.0,True,True
B09X2VL7F4,filter,9.0,True,False
B09X2VL7F4,filter,8.0,True,True
B09X2VL7F4,filter,8.0,True,True
B09TP87Y5Z,filter,10.0,True,False
B09TP87Y5Z,filter,9.0,True,False
B09TP87Y5Z,filter,9.0,True,False
B09TP87Y5Z,filter,9.0,True,False
B09TP87Y5Z,filter,8.0,True,True
B09R7H5MHM,filter,9.0,True,False
B09R7H5MHM,filter,9.0,True,False
B09R7H5MHM,filter,5.0,True,True
B09R7H5MHM,filter,7.0,True,True
B09R7H5MHM,filter,8.0,True,True
B09Q8B7MRD,filter,6.0,True,True
B09Q8B7MRD,filter,8.0,True,True
B09Q8B7MRD,filter,5.0,True,True
B09Q8B7MRD,filter,9.0,True,False
B09Q8B7MRD,filter,8.0,True,True
B09PGZLGVL,filter,7.0,True,True
B09PGZLGVL,filter,7.0,True,True
B09PGZLGVL,filter,7.0,True,True
B09PGZLGVL,filter,5.0,True,True
B09PGZLGVL,filter,6.0,True,True
B09LC2QD9L,filter,6.0,True,True
B09LC2QD9L,filter,7.0,True,True
B09LC2QD9L,filter,3.0,True,True
B09LC2QD9L,filter,5.0,True,True
B09LC2QD9L,filter,7.0,True,True
